query_id,normalized_discounted_cumulative_gain
1,0.14748158546027093
2,0.2602862882560093
3,0.46477851357590455
4,0.38977790016126607
5,0.4352554132635921
6,0.3949799592533382
7,0.48788734818103885
8,0.06863963511135611
9,0.5670385469521046
10,0.45196023205393987
11,0.6331023268740996
12,0.0
13,0.3857287183892555
14,0.34096422785674835
15,0.5337698748784967
16,0.3897694992285896
17,0.4433311348223695
18,0.6866394874322275
19,0.0
20,0.6070554982949911
21,0.6885382561558849
22,0.24045396302048905
23,0.0
24,0.24292845645593505
25,0.30566476262409653
26,0.5439785563084002
27,0.6691952492089885
28,0.28189257637681825
29,0.20354627997472347
30,0.30144260959596
31,0.756139108165972
32,0.5668945240229211
33,0.7378699385471991
34,0.6737696958978378
35,0.30810560061464504
36,0.23258538865808712
37,0.790637435543987
38,0.5810052954073407
39,0.11973801724507503
40,0.20331303493750547
41,0.41114213514970366
42,0.7912282349004554
43,0.39519360156716293
44,0.5909445609015601
45,0.5454371459551915
46,0.5737228480655677
47,0.1528124254505554
48,0.09085826196998201
49,0.8150325416312383
50,0.6884353974133242
51,0.6202023038946484
52,0.9268989817336446
53,0.4573702201406058
54,0.7096450811924322
55,0.05339645223853127
56,0.254532446314262
57,0.26998826299055606
58,0.3233492542631511
59,0.19668591765621704
60,0.26293358613492296
61,0.8015542268999609
62,0.14861353674791566
63,0.26036938397458487
64,0.1228156274795086
65,0.22425792724742258
66,0.15176348137853587
67,0.162424969263303
68,0.3629611137032474
69,0.697969877165539
70,0.5630029418237357
71,0.3919748198480128
72,0.5598707786320737
73,0.5568502135759481
74,0.648212068108446
75,0.5655654378551673
76,0.7552682916188002
77,0.28869025165442114
78,0.20171145409687063
79,0.24596351243405207
80,0.4161135507410459
81,0.5707461292179045
82,0.663819828655501
83,0.5575943774471795
84,0.5202260410302357
85,0.11569286309833592
86,0.18674430939671768
87,0.1236393479481529
88,0.40134981984671336
89,0.5441806577619579
90,0.8070369731948932
91,0.25887401405246524
92,0.5858213633706215
94,0.4695843931198631
95,0.6693595276374372
96,0.6350169712893959
97,0.8070600719193528
98,0.21167111794786272
99,0.8429734263955395
100,0.6822008597230022
