query_id,normalized_discounted_cumulative_gain
1,0.146002742260875
2,0.3886773817339706
3,0.41195679080232894
4,0.0
5,0.3742068134605729
6,0.4388729277054713
7,0.48760499295423815
8,0.09294571394940158
9,0.6305020608538403
10,0.4482759070403009
11,0.6703598106877402
12,0.0
13,0.3586567203226224
14,0.34327234033293413
15,0.4354543947517695
16,0.4695817699498591
17,0.4769906201171395
18,0.6808668970789802
19,0.0
20,0.5765263158765606
21,0.6885382561558849
22,0.22091126322780866
23,0.0
24,0.15371377196649735
25,0.22832281375172866
26,0.5694376534880752
27,0.6691952492089885
28,0.5174098531560017
29,0.011777864829461592
30,0.27577673587199003
31,0.7830478166258868
32,0.5686134943986495
33,0.6858297878268546
34,0.6714654400493302
35,0.2680011157005253
36,0.2305727611562598
37,0.7788135291304578
38,0.015839816455215813
39,0.07041128381399786
40,0.1849906276339913
41,0.41271941890239466
42,0.7824167273804247
43,0.42720658206223894
44,0.672934411170112
45,0.42611112212432173
46,0.5926650156220531
47,0.05730465954395831
48,0.08673254668688518
49,0.701261562016877
50,0.6717670373352228
51,0.5158164855099159
52,0.9268989817336446
53,0.4817112940004431
54,0.7551582962435122
55,0.03142939563723185
56,0.11601858814415636
57,0.3331513313979827
58,0.3309512241931685
59,0.10828346221408817
60,0.26293358613492296
61,0.8015542268999609
62,0.25380492631664847
63,0.19790633028823126
64,0.05488282883416409
65,0.2533306289769112
66,0.3252356346757936
67,0.1857733779149676
68,0.11824038212062768
69,0.6776342702570085
70,0.5375784293913937
71,0.3919748198480128
72,0.558142834856338
73,0.46831889922864345
74,0.6998722180542185
75,0.581011771188469
76,0.6716918566632478
77,0.2200917662980802
78,0.08061703688836394
79,0.09992543187752581
80,0.3954025183431743
81,0.5685645587734065
82,0.5428492217568637
83,0.5709498343366165
84,0.5637844417434451
85,0.016971780674092458
86,0.18596400815494743
87,0.13257429460832532
88,0.3035062745708533
89,0.5126745992227794
90,0.7879718549977753
91,0.26123030564800664
92,0.4583732301353251
94,0.17373023262422738
95,0.6693595276374372
96,0.6399107708817126
97,0.8130288405207216
98,0.2332765958180813
99,0.8496965554030236
100,0.6822008597230022
