query_id,discounted_cumulative_gain
1,3.7029848903213822
2,1.7618595071429146
3,12.080174577973015
4,7.445412464587143
5,15.415659200307612
6,6.868627675549998
7,8.968392063949203
8,1.2175603032548081
9,9.892789260714373
10,14.869520673969175
11,16.42477707611592
12,0.0
13,9.30153131869746
14,11.57236372915775
15,19.247426698980057
16,13.937525820115356
17,11.921895011561109
18,12.465009147164652
19,0.0
20,22.06554142412864
21,17.960872849646115
22,7.8817279292611
23,0.0
24,7.0
25,9.08448016541954
26,18.777860621509227
27,12.047438028571658
28,6.95973269185097
29,6.6856302861789025
30,6.786041332767198
31,28.112714992277446
32,11.785578521428745
33,26.56210370492191
34,24.490500748140523
35,6.289253547365214
36,3.541501575091828
37,28.738464826464835
38,18.340026131301048
39,3.9279955218913827
40,6.911564833901032
41,11.063953936749307
42,27.030951466574336
43,14.131482932060837
44,21.4799334238144
45,15.626628309905804
46,17.13508485511133
47,5.0474380285716585
48,3.166666666666668
49,29.144243240432612
50,23.587672951035135
51,25.17911373006382
52,8.0
53,9.9165082750002
54,25.794516283042697
55,1.3144743655440063
56,4.525499015949726
57,8.567378708274237
58,11.776126043144629
59,7.8187482825621
60,8.0
61,28.90357240754081
62,4.691138220196342
63,7.6387223231820665
64,3.985564349240491
65,8.086608517092724
66,5.597509554315899
67,3.181333112654679
68,10.5763422181586
69,20.66423392641337
70,18.227239451066126
71,4.039169718883304
72,11.579111335380267
73,18.14226048644799
74,11.5
75,12.836806404116432
76,16.162649709859323
77,10.493450309756156
78,6.891124817645849
79,7.143090932289438
80,11.680534704940621
81,15.186267438595824
82,23.30643649007552
83,12.568093657502788
84,6.279943093340917
85,2.935826536393297
86,5.032038718079955
87,4.0
88,7.934264036172708
89,12.37087704772593
90,26.019857081181904
91,9.409675551491935
92,21.533844218193124
94,16.486911602422875
95,9.51085595496531
96,14.681922768685864
97,15.154648767857287
98,5.130929753571458
99,16.4165082750002
100,16.54743802857166
